Unnamed: 0,id,title,rating,genre,year,has_reviews,poster_url
,ind_000009,Gadar: Ek Prem Katha,7.3,"Action, Drama, Romance",2001,False,
,ind_000010,Dayaa,6.6,Mystery,2023,False,
,ind_000011,Checkmate,8.2,"Action, Comedy",2023,False,
,ind_000012,Por Thozhil,8.2,"Action, Crime, Thriller",2023,False,
,ind_000013,The Family Man,8.7,"Action, Comedy, Drama",2019,False,
,ind_000014,OMG: Oh My God!,8.1,"Comedy, Drama, Fantasy",2012,False,
,ind_000015,Maamannan,6.8,"Action, Drama, Thriller",2023,False,
,ind_000016,Baby,8.0,"Drama, Romance",2023,False,
,ind_000017,IB 71,7.3,"Action, Thriller",2023,False,
,ind_000018,Commando,6.1,Not Available,2023,False,
,ind_000019,Dahaad,7.6,"Crime, Drama, Mystery",2023,False,
,ind_000020,Sirf Ek Bandaa Kaafi Hai,7.9,"Crime, Drama, Thriller",2023,False,
,ind_000021,Choona,8.8,"Comedy, Crime, Drama",2023,False,
,ind_000022,Scam 1992: The Harshad Mehta Story,9.3,"Biography, Crime, Drama",2020,False,
,ind_000023,Jai Bhim,8.8,"Crime, Drama, Mystery",2021,False,
,ind_000024,The Kerala Story,7.2,Drama,2023,False,
,ind_000025,Maaveeran,7.4,"Action, Drama, Thriller",2023,False,
,ind_000026,Pathaan,5.9,"Action, Adventure, Thriller",2023,False,
,ind_000027,Aspirants,9.2,Drama,2021,False,
,ind_000028,Tu Jhoothi Main Makkaar,6.0,"Comedy, Romance",2023,False,
,ind_000029,Half CA,8.5,Drama,2023,False,
,ind_000030,Dangal,8.3,"Action, Biography, Drama",2016,False,
,ind_000031,CAT,8.2,"Crime, Drama, Thriller",2022,False,
,ind_000032,Rocket Boys,8.9,"Drama, History",2022,False,
,ind_000033,Panchayat,8.9,"Comedy, Drama",2020,False,
,ind_000034,The Happening,5.0,"Adventure, Drama, Sci-Fi",2008,False,
,ind_000035,Tumbbad,8.2,"Drama, Fantasy, Horror",2018,False,
,ind_000036,Scoop,7.7,"Biography, Crime, Drama",2023,False,
,ind_000037,Chor Nikal Ke Bhaga,7.5,"Crime, Drama, Thriller",2023,False,
,ind_000038,Trial Period,7.1,"Comedy, Drama",2023,False,
,ind_000039,Brahmastra Part One: Shiva,5.6,"Action, Adventure, Fantasy",2022,False,
,ind_000040,Kota Factory,9.0,"Comedy, Drama",2019,False,
,ind_000041,Sweet Kaaram Coffee,7.2,"Drama, Family",2023,False,
,ind_000042,Paatal Lok,8.1,"Crime, Drama, Thriller",2020,False,
,ind_000043,Special OPS,8.6,"Action, Crime, Thriller",2020,False,
,ind_000044,Veerappan,5.3,"Action, Biography, Crime",2016,False,
,ind_000045,Lust Stories 2,6.4,"Drama, Romance",2023,False,
,ind_000091,Spy,5.3,"Action, Thriller",2023,False,
,ind_000137,Guns & Gulaabs,8.7,"Comedy, Crime, Romance",2023,False,
,ind_000183,The Trial,5.3,"Crime, Drama, Mystery",2023,False,
,ind_000273,Rangabali,5.0,"Action, Comedy, Drama",2023,False,
,ind_000319,Bloody Daddy,6.7,"Action, Crime, Drama",2023,False,
,ind_000409,Mirzapur,8.5,"Action, Crime, Drama",2018,False,
,ind_000410,Vikram,8.3,"Action, Crime, Thriller",2022,False,
,ind_000411,The White Tiger,7.1,"Crime, Drama",2021,False,
